Date,Trend,ScannerName,ScannerCode,Category,MC_nsCode,MC_StkId,MC_StkName,LTP_MC,NSE_SYMBOL,SERIES,PREV_CLOSE,OPEN,HIGH,LOW,CLOSE,AVG_PRICE,VOLUME,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,IndicatorFile,MatchType
08-Apr-2026,Bearish,,,,,,Sapphire Foods,166.8,SAPPHIRE,EQ,158.55,166.49,169.82,161.35,166.8,166.68,1348432,2247.63,23934, 685062, 50.80,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,Guj State Petro,241.22,GSPL,EQ,235.95,245.53,247.44,239.51,241.22,241.77,1207890,2920.35,17191, 617336, 51.11,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,TBO Tek,1162.6,TBOTEK,EQ,1082.7,1144.2,1236.3,1121.4,1162.6,1188.5,1183663,14067.85,72420, 302966, 25.60,bearish.csv,Name_Exact
08-Apr-2026,Bearish,,,,,,Honeywell Autom,27150.0,HONAUT,EQ,27215.0,28000.0,28395.0,27000.0,27150.0,27502.16,24216,6659.92,12043, 14610, 60.33,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,Bombay Burmah,1473.0,BBTC,EQ,1431.1,1484.0,1495.7,1456.0,1473.0,1469.01,236578,3475.36,20269, 143004, 60.45,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,Railtel,284.54,RAILTEL,EQ,268.85,280.1,285.9,275.5,284.54,281.1,1573955,4424.44,26566, 488374, 31.03,bearish.csv,Name_Exact
08-Apr-2026,Bearish,,,,,,IIFL Finance,446.9,IIFL,EQ,428.4,448.0,452.4,440.0,446.9,445.22,3820112,17008.04,65574, 2296209, 60.11,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,Piramal Pharma,143.77,PPLPHARMA,EQ,141.04,145.9,146.33,143.22,143.77,144.54,2989219,4320.63,24598, 1275382, 42.67,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,ICICI Prudentia,541.6,ICICIPRULI,EQ,516.65,541.0,546.35,532.5,541.6,540.4,827961,4474.29,35448, 414715, 50.09,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,CRISIL,3852.3,CRISIL,EQ,3770.6,3885.0,3950.0,3800.0,3852.3,3890.44,127378,4955.57,20982, 74015, 58.11,bearish.csv,Name_Exact
08-Apr-2026,Bearish,,,,,,Escorts Kubota,3059.5,ESCORTS,EQ,2909.8,3040.0,3074.0,2977.5,3059.5,3037.5,170276,5172.13,18875, 78586, 46.15,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,Aegis Logistics,610.25,AEGISLOG,EQ,588.0,620.0,620.8,602.2,610.25,610.91,935033,5712.19,32632, 477754, 51.09,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,Concord Biotech,1049.8,CONCORDBIO,EQ,1032.6,1070.0,1075.1,1041.6,1049.8,1058.54,251546,2662.72,30019, 141297, 56.17,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,Apollo Tyres,436.1,APOLLOTYRE,EQ,412.85,425.05,444.0,425.0,436.1,436.18,2409572,10510.05,48741, 775950, 32.20,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,Redington,218.21,REDINGTON,EQ,206.89,218.0,220.25,214.02,218.21,217.75,4757653,10359.62,54391, 1794068, 37.71,bearish.csv,Name_Exact
08-Apr-2026,Bearish,,,,,,ITI,266.75,ITI,EQ,256.84,268.39,268.39,261.63,266.75,265.94,982278,2612.26,13189, 237674, 24.20,bearish.csv,Name_Exact
08-Apr-2026,Bearish,,,,,,Aegis Vopak,190.55,AEGISVOPAK,EQ,174.53,186.86,191.98,180.82,190.55,188.48,1583696,2984.92,17682, 612059, 38.65,bearish.csv,Name_Exact
08-Apr-2026,Bearish,,,,,,PTC Industries,15806.0,PTCIL,EQ,16026.0,16500.0,16597.0,15701.0,15806.0,16130.83,19877,3206.32,6765, 8178, 41.14,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,Sobha,1292.5,SOBHA,EQ,1228.7,1279.8,1322.1,1266.5,1292.5,1299.17,186531,2423.36,21961, 72736, 38.99,bearish.csv,Name_Exact
08-Apr-2026,Bearish,,,,,,SignatureGlobal,829.2,SIGNATURE,EQ,775.4,794.9,836.95,794.9,829.2,824.76,353984,2919.53,14826, 73348, 20.72,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,Zee Entertain,78.79,ZEEL,EQ,73.57,76.61,80.19,75.22,78.79,78.1,35920241,28052.09,99916, 15166413, 42.22,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,Jupiter Wagons,272.63,JWL,EQ,266.35,276.1,276.42,271.85,272.63,273.53,2698644,7381.61,37169, 765416, 28.36,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,Ramco Cements,993.25,RAMCOCEM,EQ,944.6,959.0,997.0,959.0,993.25,984.38,430754,4240.25,18244, 279330, 64.85,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,EIH,307.3,EIHOTEL,EQ,297.5,307.95,310.35,300.85,307.3,306.97,902520,2770.49,15610, 326714, 36.20,bearish.csv,PriceFallback(±0.00)
